cosmx_threshold,f1_gain,f1_loss,f1_mean,accuracy_3class
0.031351,0.6074074074074074,0.1267605633802817,0.36708398539384457,0.8456843940714909
0.030749,0.6074074074074074,0.1258741258741259,0.3666407666407666,0.8448125544899738
0.058466,0.5309734513274337,0.20224719101123595,0.3666103211693348,0.8918918918918919
0.059176,0.5309734513274337,0.20224719101123595,0.3666103211693348,0.8918918918918919
0.029817,0.6074074074074074,0.125,0.3662037037037037,0.8439407149084568
0.062232,0.5178571428571429,0.21428571428571427,0.3660714285714286,0.8953792502179599
0.068422,0.5185185185185185,0.21333333333333335,0.36592592592592593,0.9032258064516129
0.035446,0.5954198473282443,0.13533834586466165,0.36537909659645296,0.8535309503051438
0.035616,0.5954198473282443,0.13533834586466165,0.36537909659645296,0.8535309503051438
0.01097,0.6363636363636364,0.09424083769633508,0.3653022370299857,0.7863993025283348
0.011047,0.6363636363636364,0.09424083769633508,0.3653022370299857,0.7863993025283348
0.066257,0.5225225225225225,0.2077922077922078,0.3651573651573652,0.9006102877070619
0.061556,0.5178571428571429,0.21176470588235294,0.36481092436974794,0.8945074106364429
0.061688,0.5178571428571429,0.21176470588235294,0.36481092436974794,0.8945074106364429
0.065942,0.5225225225225225,0.20512820512820512,0.3638253638253638,0.8997384481255449
0.03675,0.5891472868217055,0.13846153846153847,0.363804412641622,0.8561464690496948
0.068297,0.5137614678899083,0.21333333333333335,0.36354740061162083,0.902353966870096
0.02929,0.6029411764705882,0.12413793103448276,0.3635395537525355,0.8421970357454228
0.029815,0.6029411764705882,0.12413793103448276,0.3635395537525355,0.8421970357454228
0.058094,0.5263157894736842,0.2,0.3631578947368421,0.8901482127288579
0.058256,0.5263157894736842,0.2,0.3631578947368421,0.8901482127288579
0.035991,0.5891472868217055,0.13636363636363635,0.3627554615926709,0.8544027898866609
0.036623,0.5891472868217055,0.13636363636363635,0.3627554615926709,0.8544027898866609
0.065026,0.5225225225225225,0.20253164556962025,0.36252708404607137,0.8988666085440279
