snpatho_threshold,auc_gain,auc_loss,auc_mean,n_truth_gain,n_truth_loss
0.006867,0.8956083639117013,0.8966585949041288,0.896133479407915,177,129
0.006881,0.8956083639117013,0.8966585949041288,0.896133479407915,177,129
0.015812,0.9427673603956316,0.8494059656218402,0.8960866630087359,92,43
0.015885,0.9427673603956316,0.8494059656218402,0.8960866630087359,92,43
0.006563,0.8931345298148085,0.8988818199344515,0.89600817487463,181,133
0.006633,0.8931345298148085,0.8988818199344515,0.89600817487463,181,133
0.012507,0.9156960353132602,0.8762872738028017,0.8959916545580309,121,69
0.016183,0.9417561605061604,0.8500107735401853,0.8958834670231728,91,42
0.013165,0.9221351533535558,0.8691794060797751,0.8956572797166654,115,63
0.010106,0.8982671006052301,0.8930165679457465,0.8956418342754883,139,88
0.010142,0.8982671006052301,0.8930165679457465,0.8956418342754883,139,88
0.009698,0.8976057937299213,0.8934920668634906,0.8955489302967059,144,89
0.00973,0.8976057937299213,0.8934920668634906,0.8955489302967059,144,89
0.006527,0.890954130104528,0.9001267109663922,0.89554042053546,183,134
0.00653,0.890954130104528,0.9001267109663922,0.89554042053546,183,134
0.006534,0.8921824289699938,0.8988818199344515,0.8955321244522226,182,133
0.006886,0.8942807321411852,0.8966585949041288,0.895469663522657,176,129
0.010285,0.8986734159539187,0.8921708956842334,0.895422155819076,136,87
0.01029,0.8986734159539187,0.8921708956842334,0.895422155819076,136,87
0.009885,0.8972671852007569,0.8934920668634906,0.8953796260321237,142,89
0.009903,0.8972671852007569,0.8934920668634906,0.8953796260321237,142,89
0.012748,0.9178838039597533,0.872636815920398,0.8952603099400757,120,67
0.010959,0.9009605929959912,0.8894785984569267,0.8952195957264589,130,76
0.006076,0.8904850272282422,0.8999300559552359,0.8952075415917391,189,139
0.006079,0.8898009895059126,0.9003892503698596,0.895095119937886,188,138
0.00614,0.8898009895059126,0.9003892503698596,0.895095119937886,188,138
0.010062,0.8966803801957725,0.8934920668634906,0.8950862235296315,140,89
0.010091,0.8966803801957725,0.8934920668634906,0.8950862235296315,140,89
0.012185,0.9138708414872798,0.8762872738028017,0.8950790576450407,125,69
0.018332,0.9508836541356867,0.8392327100029683,0.8950581820693275,81,24
0.018409,0.9508836541356867,0.8392327100029683,0.8950581820693275,81,24
0.012677,0.9156960353132602,0.8742572098348144,0.8949766225740372,121,68
0.012703,0.9156960353132602,0.8742572098348144,0.8949766225740372,121,68
0.010924,0.9009605929959912,0.8888335963102317,0.8948970946531114,130,77
0.010954,0.9009605929959912,0.8888335963102317,0.8948970946531114,130,77
0.018468,0.9502460168697282,0.8392327100029683,0.8947393634363483,80,24
0.012242,0.9131901743764387,0.8762872738028017,0.8947387240896202,124,69
0.012276,0.9131901743764387,0.8762872738028017,0.8947387240896202,124,69
0.006156,0.8898009895059126,0.8995085639950857,0.8946547767504991,188,137
0.012331,0.9128080538617885,0.8762872738028017,0.8945476638322951,123,69
0.006518,0.8879181904374915,0.9009442248572683,0.8944312076473799,184,135
0.018305,0.9493072254666208,0.8392327100029683,0.8942699677347945,82,24
0.006061,0.888439751416158,0.8999300559552359,0.894184903685697,190,139
0.006066,0.888439751416158,0.8999300559552359,0.894184903685697,190,139
0.010299,0.8986734159539187,0.889431704885344,0.8940525604196313,136,85
0.010354,0.8986734159539187,0.889431704885344,0.8940525604196313,136,85
0.006334,0.8879181904374915,0.8998298132309304,0.893874001834211,184,136
0.006504,0.8879181904374915,0.8998298132309304,0.893874001834211,184,136
0.006172,0.8882324639432491,0.8995085639950857,0.8938705139691674,186,137
0.00625,0.8882324639432491,0.8995085639950857,0.8938705139691674,186,137
0.00631,0.8879181904374915,0.8995085639950857,0.8937133772162886,184,137
0.00559,0.8835797254487857,0.9033794890368596,0.8934796072428226,200,143
0.005649,0.8835797254487857,0.9026907714946395,0.8931352484717126,200,142
